content,sentimen
makin update makin gak jelas dikit-dikit dibatasin sanggat mengganggu komunikasi,0
ok,1
aplikasi berguna untuk komunikasi jarak jauh dan mudah di gunakan,1
bagus dong,1
bagus,1
Senang menggunakan whatsapp. Bagus dan mudah.,0
yekinawipa,1
aplikasi ini yerlalu keren bagiku,1
Saya kasih 4 bintang jika bagus saya lanjutkan,1
"bagus lah, tapi tolong hd in status nya, kenapa setiap video atau foto yang di galeri hd tapi pas udh di upload ke status malah burik",1
yes oke,1
bug semakin parah,0
mantap,1
semoga bisa lebih baik,1
Ok,1
kenapa setiap vc sering elor wajah nya tolong perbaiki yang benar biar saya bisa nyaman menggunakan wa,0
Bagus sekali,1
mantan,1
gooodd,1
good,1
sangat membantu... pengajuan cukup mudah..,1
akun saya kena spam trus,1
baguss,1
sangat besar manfaat nya,1
Mardian,0
"aplikasi jadi jelek setiap update, status wa sering ga ke download pdahal jaringan bagus",0
Good,1
apk terbaik komunikasi lancR,1
"x, u",1
"tolong dong grafik statusnya ditingkatkan, masa upload foto yang awalnya hd malah jadi burem",1
ok mantap,1
mantap,1
baik,1
seriap verivikasi selalu gagal dan tidak dapat sms,0
"up status menurunkan HD video yg du up, kualitas telfon masih kalah sama open mic game online itu menurut saya",0
"izin Bpk/Ibu. maaf saya mau tanya, kenapa WA Toggle saya gak bisa digeser? pada hal sudah lama saya pakai finger, pola, dan keamanan wajah. toogelnya gak bisa digeser. baru, gak bisa saya sinkron barcode WA diLaptop dari WA HP saya.terganggu saya link meet kuliah. 🙏🙏",0
"untuk grafik sw tolonglah ditingkatkan, awalnya gak buram. pas diposting malah buram, agak sakit mata melihat nya🙏",1
Baik,1
sangat nyaman,1
Bagus terimkasi sudah banyak membantu,1
bagus,1
sangat baik dan membantu,1
ini apk nya bagus sekali gaada nge lag sama sekalii 😁,1
"Tambah runyam , Up date lama nyambung",1
👍,1
bagus lah pokonya,1
sangat membatu,1
sangat merasa terbantu,1
"dengan whatsappsangat terbantu sekali,timbang biyen kerem surat nganggo prangko seng larang opo maneh kerem surat Nang luar negri motor sembah nuwon atas teknologi yang canggih ini ,",0
💯,1
ok,1
kenapa di telfon menolak sendiri ya? harus di fiks itu,0
tolong dong dibagian vc/telepon hilangin pengaturan privasi tidak bisa merekam suara,1
aplikasi ini berguna banget buat aku karna aku punya pengusaha di waslap cuma duduk di rumah terdiam dan jualan tapi aku ttp hasil gajih buat jajan setiap hari lumayan bangett,1
"itu kenapa yaa fitur video call jadi error begitu, pasti habis ubah layar gabisa dikembaliin, tolong dong di update apk nya supaya bisa lebih baik lagii",1
Wa tak sengaja kehapus bingung mau masuk lagi!?,1
saya hampir 10 kali di pasang trus hapus lagi udah lama lama nunggu 24 jam tapi malah di surus dowload whatsapp resmi trus padahal udah resmi lohh gmana pirbaiki dong,0
"your system is getting more and more unclear. Not recommended for reuse. It's best to switch to a product with better features, especially other products besides WhatsApp.",0
bagus,1
Hebat aku bisa telepon,1
lelet,0
Bagus,1
"tiba² log out sendiri padahal hp semaleman tidak dipakai, dan sekrang akun di tinjau bagaimana ya ini. ada email yg dapat di hubungi?",0
"sumpah ya WhatsApp, kenapa sih, tbtb wa gua di tinjau, dan gabisa balik lagiiii, ih sumpah ya padahal itu wa yg penting lohhhh yaampunn, udh minta dipulihkan lagi ke email WhatsApp tapi katanya gabisa, kenapaaa yaallahhh, nyesek bgt wa gua tbtb ilang gitu aja shibal",0
mantap wa keren sangat cocok bagus baik banget kasih apa itu lagi update,1
bisa ngobrol sama my mantan tercinta ebri,1
aku siap berkarya 8,1
tolong dong ini wa kenpa yaa di tinjau terus menerus saya kebingungan harus instal ulang,0
bagus,1
bagus,1
Bagus Terima kasih,1
Cool,1
"bisa ldr sama temen,ortu, sahabat bahkan pacar",1
OK lah,1
wa ny sangat bagus,1
lagi usaha kecil kecilan,1
aplikasi yang bagus,1
"up story pecah² mulu gila, biar udh di hd in",0
suka,1
ok,0
"hai WhatsApp, kenapa story wa aku yg video tidak bisa di putar? padahal versi nya sudah ku update. would you help me?",0
"ini bagaimana kok wasap saya keluar2 sendiri, bagaimana ini, respon lambat, kacau, mau masuk, balas chat aja ribet, keluar2 terus..",0
WA saya kenapa sering keluar akun sedang di tinjau udah beberapa hari ini selalu keluar kel gitu,0
mantap,1
Bagus...durasi lagu buat SW nya tambah,1
ok gass full,1
bagus,1
Makin tidak jelas apk ini,0
"kembalikan fitur vc seperti dulu,masa vc sekarang sering ngelag,layar gak bisa dipencet",0
bagus,1
tapi kurangnya itu emoji aku kurang lengkap,1
kenapa vc saya tidak ada efek,0
WA memudahkan komunikasi,1
ok,1
terhapus sendiri,1
"saya ingin selalu menggunakan wa karena sangat ,mudah untuk berkomunikasi.",0
sangat bagus,1
nice,1
bagus sekali,1
Pariyo Pariyo Pariyo,0
respon cepatlah,1
apa aplikasi sering eror goblog,0
"ga suka fitur VIDEO CALL yang baru, mohon di tingkatkan kualitas VIDEO CALL nya",1
sudah nice thanks Meta corp,1
😘👍,1
baguss,1
status lagu harus bisa ada liriknya seperti instagram dan tambah lagi lagu yang belum ada dan bisa geser bagian bagian lagunya seperti instagram. dan meta ai nya perbaiki dan lebih lengkap lagi. masih banyak yang salah,0
good,1
watsap tq,1
"Please bring back the feature, the feature where when we are on a video call, when we click on the small screen, the large screen will display ourselves while the person we are talking to is on the small screen.",0
Best of the best / Good.,1
saya udah lama memakai aplikasi ini... tapi kenapa ya kemarin saya pas buat status wa terus ketika sudah dihapus statusnya tapi orang lain yang punya kontak saya masih bisa melihat status saya itu kenapa yaa?? whatsapp sekarang emang se eror itu kah??,0
"-META AI- There was a problem generating a response. Please try again later. (hanya ""TEMUKAN AI"" yang normal)",1
sangat baik,1
kren,1
sangat membantu,1
bagus,1
biasa saja...,1
sangat puas dengan ada nya aplikasi whatsapp karna membantu memudahkan komunikasi,1
bagus keren enak juga gaada bug,1
"Setiap nanya di meta ai WhatsApp jawaban selalu ngawur, ga pernah benar, lebih mengutamakan jawaban ngawur dibandingkan jawaban pakai sumber, kesannya meta ai hanya mau nyebar hoax, saran mending adain tombol buat copot meta ai dari akun pengguna, ga guna",0
"bagus, sangat membantu",1
biar bintang yang bicara,1
coba lu cari dah bug di VC ada ngga,0
"update again, fix the bug",0
bagus,1
"Mohon Maaf, Kenapa Yaa WhatsApp Buat Status Sering Ga Masuk Gitu 🤔😇🙏🏻",0
bagus,1
good 👍,1
good,1
bagus,1
bagus untuk chat,1
aplikasi nya baguss👍,1
sangat rekomendasi,1
Minta solusinya. Jika hp hilang mau pakai nomer yang sama tapi harus masukan 6 kode yang dikirim via wa ke hp yang hilang. Bagaimana cara tetap bisa gunakan nomer yang sama atau mendapatkan 6 kode tersebut? (untuk kartu sudah urus & dapat kartu.baru dengan nomer yang sama/hilang),1
SANGAT BAJU,1
👍,1
sangat menarik,1
mantap,1
Bagus,1
ok sangat membantu,1
ok,1
"Hallo selamat pagi. Aku sering menggunakan WhatsApp untuk segala kegiatan dan menghubungi teman, lancar berkomunikasi, tp sayang sering terganggu hrs membersihkan, kenapa ya",1
"azuaparayuda gj v. ,",1
buat telfon video ngelag/ngebug,0
bagus tpi g bsa upgrade,1
baik,1
𝘩𝘦𝘣𝘢𝘵,1
sangatt sukaa sama whatsaap terr debestt dehh 1000/100,1
mantap,1
gellopa,0
sudh berapa hari ini knpa fitur video call di layar hp lawan bicara di layar besar dan di layar kecil jga begitu tidak ada wajah kita di layar besar ada nya di layar kecil ...,1
"keren, gabisa berkata kata lagi aku",1
menarik sekali,0
cepat .dan bagus,1
bagus tapi gk adil,1
"vc nya sering ilang""ngan gambar mukanya",0
mantap,1
Bagus,1
tidak ada fitur filter saat vc padahal sudah dinyalakan fiturnya,0
"Semua sudah bagus,cuman jangan diperbarui tiap bulan dong",1
bagus,1
mantap,1
sangat membantu,0
kenapa saat pengunggahan story jelek banget hasilnya. foto dan vidio sangat buram. padahal sudah pake Yg HD. WA tlong dong yg pengguna pengguna Android seperti saya di kasih unggahan yg bagus.,0
𝐚𝐤𝐮 𝐬𝐮𝐤𝐚 𝐰𝐚,1
bagus,1
bel ada ai nya ppunya saya,1
karena lama download nya,0
"login pakai barcode sekarang error mulu, tolong diperbaiki minnn",1
"wa saya tidak bisa di buka. entah apa penyebabnya.tolong beri tahu apa penyebabnya, lalu bagaimana cara agar WA dapat terbuka. terimakasih atas bantuannya.",1
Ok siiip,1
baik,1
aplikasi yg sangat berguna,1
"kenapa ya setelah di update pas kita vc dan kita pencet kamera kok gambarnya tiba"" sama ya...biasa kan yg muncul gambar kita dan orang yg kita vc tapi ini muncul gambar orang yg kita vc semua....",0
tambah ngelag ni Whatsap,0
bagus bangett buat berkomunikasi,1
mmh rina,0
berilah update terbaru kenapa wa ku gbisa tekan tombol vc tolong harus bisa dongg apa masalah nya ya,1
aplikasi sejuta umat,1
bagus,1
g jelas gabisa di update,0
plis untuk WhatsApp ilangin wa kenon,1
baik,1
Mantap,1
aplikasi ini sangat cocok untuk orang orang,1
bagus,1
👍,1
Lain kali kalau apa-apa enggak usah dipakai Didownload Didownload susah memoriku udah full banget,0
"WhatsApp sekarang kenapa sering di tinjau terus..Saya tidak menggunakan aplikasi ilegal atau melanggar aturan, mohon pulihkan akun saya.",0
bagus,1
mantap 👍👍,1
membantu,1
Lebih bagus lagi,1
"tolong dong, akun saya tidak melanggar apa apa kenapa di blokir terus ya, lebih ketat lagi dong keamanan nya hadeh, gk melanggar kebijakan malah kena blokir terus menerus, jadi tidak nyaman memakai.",0
"bagus, tapi belakangan ini ada notif riwayat chat bermasalah itu kira kira kenapa ya??",1
Sangat bagus,1
kecewa,0
samaaja,1
"tolong saran mulai mengobrol dihapus saja, karena sangat menggangu",1
pernah lomba,1
sangat bermanfaat,1
bagus,1
"TOLONG BALIKAN FITUR DLU, FITUR SKRG GA JELAS BGT LAGI VC TB' MUKA NYA ADA 2 KYK NGELEG GTU DAN SANGAT MENGGANGGU SKLI. TOLONG YA BALIKAN FITUR DLU AJA! TERIMAKASIH!",1
tolong ini update terbaru menyusahkan,0
"untuk fitur yg terbaru sangat mengganggu sekali, kembalikan seperti awal",0
saya sangat suka,1
siiiiiip,1
bagus banget apk nya,1
sudah mulai good yg skrg..,1
bagus kali sip Joss gandoss,1
sangat bagus,1
kenapa wa ku setiap mau telpon selalu panggilan gagal,0
sangat baik,1
"trimakasi Aplikasinya sangat bagus,saya kasi bintang 5",1
aplikasii paling bagus menurut sayaa,1
good,1
👍,1
keren bangettt🗿,1
bagus dan cukup memuaskan,1
pemeliharaan aplikasinya lama mengganggu,0
kenapa ngelag,1
dengan whatsaApp kita di mudahkan dalam segala hal khususnya dalam berkomunikasi bersama teman dan keluarga,1
"ini wa eror apa gimana sih udh 5 hari stori kontak wa GK ada tapi kalok aku bikin stori tampil di teman""",0
top markotop 👍👍,1
yo ra piye piye,1
"Please, kembalikan fitur ss di foto kirim sekali, gbisa ss foto cantik dia",1
bagus sekali,1
bagus,1
sangat baik,1
"Ya,bagus",1
apl ini sangat bagus,1
bagus nyam,1
sangat baik dan memuaskan,1
bagus & bermanfaat,1
update mulu,0
simpel ngga ribet sejak jaman SMS pindah whatsapp dan ngga pake aplikasi lain😁 x,1
sangat suka dengan wa ini,1
Gambar sedikit buram,1
Aplikasi ini bagus banget 😆😆😆 Sekarang saya berpisah dari teman saya dengan aplikasi ini kami bisa ngobrol tanpa bertemu langsung Pokoknya keren deh 🥰,1
ok,1
p p apaaaa pian sungguh mempesona,1
baik,1
"d,xcvklo.3sxxns xx",1
sangat bagus,1
kok tiba-tiba akun whatsapp saya terblokir?ini masalah nya apa ya dan juga pas saya ingin mendaftarkan àkun lagi kok maĺah gak bisa,1
mantap,1
bagus,1
sangat membantu,1
"buruk makin kesini makin parah wa orang daftar aja kaga bisa gak jelas banget ,apk sampah",0
Aku akan lebih lancar sekolahnya,1
Tik,1
bgs banget,1
Bagus banget sama dia ya kalo gue punya apa aja yang mau jadi anak muda itu apa yang ada dalam hidup kita,1
AUINRU📞📞📞,1
"kenapa kalo vc,kita klik mau perbesar kita jadi malah jadi kecapture lawan bicara dan jadi 2 frame lawan bicara semua,padahal butuh untuk perbesar diri sendiri juga..sebeelllllll",0
"whatsap nya susah di buka,jelek banget",1
"sangat mengecewakan, sudah gak bisa loging.",0
amat membantu,1
bgus,1
ela yuli,1
"ini kenapa ya, WhatsApp waktu di posting story blur tolong perbaikannya pihak WhatsApp 🙏🏻",0
ni wa makin gak jelas sering log out.alesan keamanan. keamanan apa ya? KLO trus berulang login malah di blokir gak bisa login. KLO alasan ke Amana kasih tau pelanggaran apa yg di lakukan.soalny slama pake wa GK aneh aneh mengunakan.hanya chatt keluarga dan grup juga cuma 1 grup angota kerja. masalahnya di mana? KLO ada pelanggaran jelasin di manah melanggarnya. jngn bilang keamanan main kelurin dan di blokir tnpa ksih tu kesalahany di mana? jdi makin gak jelas wa,1
Bagus,1
"adain fitur vc ga miror dong wa😭🙏🙏🙏, kalo udah ada nanti gw kasih bintang 5 deh",0
sangat bermanfaat sekali,1
"jelek anj, si dia slow respon",0
sangat membantu,1
good joob,1
top,1
nice,1
good,1
"KNP SI HARUS ADA FITUR PENYIMPANAN ITUU, kan bisa dibicarakan baik baik dulu JGN MAIN RIWAYAT BERMASALAH",0
kalo buat sw sering pecah. perbarui dong atau tutor caranya ttp hd,1
baaaaaa,1
belum ada nomor vripikasi what shap nya,1
"Tlong donk BERANDA WhatsApp di buat jadi kayak beranda WhatsApp IOS gitu! soalnya dah bosan banget dengan beranda yang warnanya itu-itu mulu,,,! Pliss 😭🙏🏻🙏🏻🙏🏻",1
tidak bisa dipake watshafnya,0
i'm so happy,1
Mudah berkomunikasi,1
kereen puassnyaa,1
puas,1
"Grup di bagi tapi masih muncul di semua chat, buat apa",1
saya percaya bahwa bisa berkomunikasi di WhatsAPp,1
Makasih..,1
ga suka soalnya harus di update terus,0
gabisa daptar aneh,0
WhasApp ...m.,1
WhatsApp ku kena span terus,1
makin kesini makn eror,0
saya beri 5 bintang agar aplikasi WhatsApp ini bisa membantu buat semua orang yang mempunyai.tolong juga jangan di buat sulit untuk orang makasih,1
maaf min ada bug sama error pas mau login masuk kan nomor telepon tidak bisa di pencet dan di tekan,0
prveck bikin saya bahagia,1
exkuepsi terus,1
Ini gimana kok gak bisa daftar akun,0
iya.. DJ and jaehyun,1
bgus,1
"saran pembaruan agar saat video call tidak bisa di record, karena takut yang kita lakukan di rekam lalu di Salah gunakan, untuk call tidak masalah bisa di rekam karena tidak ada apa apa, hanya percakapan, sedangkan video call menunjukkan aktivitas kita kepada orang yg terhubung",1
the update broken my WhatsApp,1
"whatsapp sekarang kaga jelas, masa saya mau bicara dengan teman teman kena ban, padahal saya kalo mau bicara selalu menyapa duluan. whatsapp makin ribet ekarang semenjak ada update meta, hapus aja itu meta whatsapp daripada kayak gitu saya kira semenjak ada update terbaru bakalan lebih baik eh ternyata malah lebih buruk👎👎👎",0
Pulihkan akun saya,1
sangat baik,1
ada yang sama? pas daftar WhatsApp bug di kolom isi nomornya? gw bintang 5 karena biar di liat aja,1
mudah digunakan meskipun gaptek,1
silahkan masuk di whatsapp saya semoga suka dan bahagia✌️😇🙏,1
suka,1
Aplikasi ga jelas,0
bgus,1
gk bisa pake filter,1
terbaik lah,1
NOTE : (KEMBALIKAN KE VERSI SEBELUMNYA)!!!!!!!!!!,1
bagus,1
Mantap,1
lancar,1
Tidak dapat menginstal aplikasi WhatsApp messenger,0
ok,1
sangat memuaskan,1
g bsa ganti profil,0
"aplikasi yg sangat baik dan membantu penggunanya, terbaik 🙏🙏",1
kenapa nmr sy sdh bnr namun knp SMS dari Indosat saya tidak pernah masuk maaf bintang 3🙏,1
"maaf ...apk wa ini memang terganggu dan akan menjadi penghalang para konsumen utk mendownload apa ini ,... apk ini sudah tidak bermanfaat. kendalanya apk ini tidak bisa memverivikasi no. Hp yg aku pake.... binasah!!!!!!!!!! tidak lagi sampai berlanjut dikasih bintang bintang kecuali apk nya dikasih bantingan keras ke atas bintang biar bintang hancur berkeping keping.",0
"Makin di update makin banyak kurangnya ,telfon wa jadi sering banget ga ada suara ,vc pun juga sama walaupun sinyal lagi bagus ,di tambah lagi kadang kalo mau perbesar gambar ,malah ngebug jadi 2 laman gambar muka kita sendiri 😌",0
aplikasi bagus,1
"tolong kualitas telpon diperbagus. jernihkan suaranya, terus kalau bisa yang kedengeran cuma suara doang. lalu tentang status juga kalau misalkan bikin status foto atau video, jangan jadi burem.",1
sudah berulangkali di download tapi bilang WhatsApp tidak resmi Mulu,1
oke,1
kode wa,1
ok,1
wa sekarang banyak bug nya tolong perbaiki lagi,0
"apk nya bgus, sangat membantu",1
"ga pernah bug, meskipun ga ada update yg berguna jir",1
Ok,1
"VidCall nya benerin dong gajelas banget, knp juga di ubah²",0
semoga ga eror lagi,1
good 👍,1
okay,1
"makin di update makin jelek makim gak jelas, video call gabisa fullscreen wajah sendiri, trus pas vidcall suaranya ga ada, gimana sih",1
ini kenapa yah sayah save nomer wa udah ke simpen tapi ko beberapa menit di cek udah ngga ada,1
kenapa sekarang fitur waa vc nya ngelag yaa sama KLO telpon masuk tpi ga terjawab padahal aktif,0
layanan apk in buruk,0
lemot ngentod orang mau masukin ni nya malah ngestuk anj,0
Baik,1
sering kena kenon pdahal ga ada masalah baik baik semua tapi malah kena kenon,0
keren,1
kenapa wa saya mudah d bajak mengerikan,0
"lu banyak bug nya sekarang anjir semenjak update, fitur videocall bug, mau perbesar layar sendiri malah jadi bug.. najis ni apk lama lama.",0
sangat memuaskan,1
"foto"" yang udah aku hapus di galeri kok masih ada di wa ya?",0
"Tolong untuk fitur vc suka ngebug2 gajelas padahal udah update,kemarin² g gini sebelum update sekarang makin gajelas untuk pihak WhatsApp mohon untuk diperbaiki untuk segala Bug dlm aplikasi, Terimakasih",1
sangat membantu kami,1
bagus,1
error gimana ini fitur vc,0
saya mau masuk akun wa selalu GK bisa tolong diperbaiki lagi,0
jempol,1
"kalau sering telponan atau vc terus telponnya mati, terus mau nelpon lagi itu sering error tolong di perbaiki",0
jos,1
wa saya kenapa dblokir terus padahal saya tidak melakukan penipuan,1
cool.,1
piy,1
kenapa tidak bisa disematkan nama kontak? kadang bisa kadang hilang sendiri ribet sumpah,0
sangat baik digunakan,1
hapus aja fitur kirim sekali lihat,1
sy TDK bisa membuka WhatsApp,1
kasi bintang 2 dulu ya soalnya nggak ada yg chat dluan,0
Ngga bisa login karena ganti akun dan nomor telepon,0
Ok,1
Nice,1
"perbaiki dong min, wa sekarang suka bag, kalo lagi vc kameranya suka bug, pas liat sw suka suka macet video nya, tolong perbaiki min, tapi lumayan sih, apk sebagus ini gratisan.",1
kenapa akun WhatsApp messenger saya tak bisa di buka ke blokir trus menerus tim WhatsApp tak bertanggung jawab atas segala permasalahan yang dihadapi sy...tiap hari 2 kali blokir trus,0
mempermudah berkomunikasi dengan baik bersama teman dan saudara ayah dan ibu baik jauh atau dekat masalah bisa menyelesaikan masalah dengan mudah,0
"no saya gampang kena tinjau, jadi malas",0
memudahkan kita komunikasi dgn jarak jauh,1
app yang paling berkualitas untuk sarana komunikasi dan informasi dari segala bidang hal atau apapun.... terima kasih WhatsApp....,1
"worth it,tapi tolong,kalo bikin status vidio/foto,jangan burem ngeblur gtu,bisa di hd in gtu atau normal aja jangan burem jadi agak kurang",1
"tolong fitur AI nya di hilangkan, sangat sangat mengganggu, terima kasih",1
bisa aja gitu,1
update terbaru pas vc bikin lag video ny,0
bagus,1
udah males ama ni apk soal bikin sw,0
mantap,1
"pgn dpt cht rata kiri, bisa sleep call,",1
mnto,1
story whatsApp selalu pecah. no good,1
saya nomor baru dan tidak melakukan kesalahan tapi kenapa WhatsApp saya di batasi??,1
kenapa saya tidak bisa membuka vidio di watsaap ini,1
"saat sedang vc dan keluar aplikasi wa,vcnya terjeda knapa yaa",0
👍🏻,1
sangat baik,1
Oke saya puas,1
praktis kirim pesanya,1
bagus,1
bagus banget sama yang namanya cinta Dimas Anggara.,1
WhatsApp bisa segalanya,1
bagus,1
Mantap,1
"tolong kalo ngompres video sedikit aja ,kasian user android dikatain kamera burik mulu",0
Petani andalan .,0
"tolong untuk developer WhatsApp,,kenapa kalau pa mau bikin status suara nya selalu kecil yah,, padahal pas di setel di aplikasi vidio hp saya suara nya kenceng,,tapi pas mau di bikin status suara nya jadi kecil,,padahal volume hp saya udah saya full kan kenapa ya??",1
kenapa watsapku terkadang riset sendiri,1
sangat membantu,1
"begoo gua lagi maen roblox di telpon cewe gua malah memanggil, dikira telponan sama yg lainn, bugg nya ngacak² hubungan orang bikin fitnah",0
sangat bagus,1
Pas aku hapus aplikasi ini e Mala waktu mu unstal tida bisa si coba berkali kali nga bisa,0
nur,1
kenapa aku ke belokir terus,0
ok,1
fitur tampilan vc atau telpon layarnya tidak bisa di perbesar jdi lebih baik WA yg dulu dari padz yang sekarang,0
"aplikasi butut kga guna klo ujung ujungnya di blokir permanen dikirain beli no murah tololl,udh banyak orng yg berkomentar ad orng yg kga salah apa apa di blokir permanen lol",0
Mantap,1
"tolong kamera vc, story nya, dibenerin burik parah, mna klo vc muka kita di org jdi mirror",1
nicee,1
biarbintang yg bicara,1
kurang baik. baru barucini dibuat twlfon suka mati sendiri. kadang gak sesuwai jaringan. jaringan bagus dibuat vdio chal gak bagus. tolong segera perbaika .,1
"aplikasi bagus iya iya ,terpaksa ya jangan ke geeran",1
bagus,1
benerin WA skrng banyak bug,0
kenapa yah aku gak bisa masuk kode verifikasi terus aku tiba' terkeluar dari WhatsApp aku bingung kenapa,0
"admin tolong ternyata saluran WhatsApp anda digunakan untuk penyebaran link pornografi, saya harap admin segera menangani hal ini 🙏",0
"tolong lah WhatsApp, saya terkirim virtex dan bug yg enggak wajar jadi wa saya FC terus tolong di perbaiki",1
sangat membantu kegiatan hidup,1
saya tidak melakukan apapun tapi kena spam mulu,0
menyukai,1
"apasii wa sekarang gj bngt, masa vc nya sekarang jadi gitu, ga bener bngt lebih suka yg dulu jam nya juga kenapa ngebug gitu ga sesuai, apalah di ganti ganti, jadi ga bgs sekarang. kecewa banget.",0
gak ada emoji plenger,0
selamat malam saya dengan kerendahan hati mohon kiranya whatsApp dapat di aktifkan kembali karena seluruh data atas dan kolega saya juga grup kerja ada dalam whastApp saya .. dan saya patuh dan taat atas aturan .terima kadih,1
WA baru keren banget,1
"whatsapp ini bagaimana ya kok fitur video call nya anehh, gabisa perbesar gambar, suka ngelag gambarnya, terus jg bisa masuk ke kamera belakang. jd susah kalo mau nelfon ke orang lain.",0
baik,0
sangat puas,1
no saya udah g bisa di pakai WhatsApp lagi .,0
good,1
intinya bagus,1
kenapa wa saya selalu di non aktifkan atau di tinjau,1
sangat bagus,1
Bagus,1
sering mati setiap call wb,1
wa jelek bet bikin sw burik kaya ff dulu,0
seropi,0
"Halo tim dukungan whatsapp, saat ini akun whatsapp saya diblokir untuk menggunakan whatsapp. Saya merasa ini adalah kesalahan sistem whatsapp. Mohon untuk tinjau kembali akun saya dan segera selesaikan masalah ini. Terima kasih",1
jelek bngtt makin ke sini whatsapp,0
bagus,1
"update kali ini banyak bug pas VC, tolong di perbaiki",0
thank,1
Sangat setuju,1
Very Good. Tapi memory hp boros banget,1
Sangat bermanfaat,1
